USERNAME, TIMESTAMP, ACTION, RESOURCE
dsblythe, 06/17/2016 06:24:24PM, assign, ICD-9 Code 790
dsblythe, 06/17/2016 08:46:17PM, cancel, notification NX1842
xcherndon, 06/17/2016 12:01:24PM, disable, ICD-9 Code 928
quhundley, 06/18/2016 12:24:04AM, modify, appointment A003833
qylarry, 06/18/2016 11:16:06AM, query, notification NX2872
fzalcala, 06/18/2016 12:33:26PM, update, notification NX3622
dsblythe, 06/19/2016 01:42:55AM, import, office visit OV01979
quhundley, 06/19/2016 05:28:57PM, resolve, ND code 295
dsblythe, 06/19/2016 07:06:14PM, complete, message M3214
qylarry, 06/20/2016 01:02:57AM, complete, message M3214
quhundley, 06/20/2016 04:15:22AM, import, notification NX0848
fzalcala, 06/20/2016 05:04:19PM, schedule, system alert CA01893
quhundley, 06/21/2016 12:49:41AM, schedule, office visit OV04174
qylarry, 06/21/2016 12:49:02PM, modify, patient specific instructions A1473
xcherndon, 06/21/2016 02:36:34PM, merge, system alert CA00306
dsblythe, 06/21/2016 09:45:06PM, disable, appointment A000770
lqmadden, 06/22/2016 01:17:41AM, cancel, notification NX1118
fzalcala, 06/22/2016 01:18:43AM, order, system alert CA04806
xcherndon, 06/22/2016 09:32:23AM, unmerge, office visit OV00787
dsblythe, 06/22/2016 10:10:38AM, unmerge, system alert CA03572
lqmadden, 06/22/2016 05:57:28PM, unmerge, system alert CA03572
lqmadden, 06/22/2016 11:29:18PM, update, ICD Code 26
lqmadden, 06/22/2016 12:06:34PM, resolve, appointment A000609
quhundley, 06/23/2016 05:27:32AM, update, notification NX0839
qylarry, 06/23/2016 03:07:17PM, query, HL7 Code 288
quhundley, 06/23/2016 12:36:40PM, cancel, office visit OV00234
quhundley, 06/24/2016 09:00:01AM, schedule, ND code 13
quhundley, 06/25/2016 02:01:48AM, cancel, notification NX1842
xcherndon, 06/25/2016 03:08:14PM, create, system alert CA01597
qylarry, 06/25/2016 07:36:51PM, print, ICD-9 Code 397
quhundley, 06/25/2016 08:59:00PM, enable, system alert CA04762
fzalcala, 06/25/2016 10:59:35PM, view, appointment A002502
qylarry, 06/26/2016 05:28:10AM, assign, system alert CA00191
lqmadden, 06/26/2016 07:05:42AM, order, message M1819
qylarry, 06/26/2016 07:40:41AM, sort, appointment A005008
fzalcala, 06/26/2016 10:25:00AM, create, office visit OV01854
fzalcala, 06/26/2016 10:34:53PM, create, office visit OV02431
lqmadden, 06/27/2016 01:03:18AM, print, office visit OV00092
dsblythe, 06/27/2016 05:47:21AM, modify, notification NX2143
fzalcala, 06/27/2016 05:53:57AM, access, patient specific instructions A1042
lqmadden, 06/27/2016 11:36:12PM, delete, ICD-9 Code 261
quhundley, 06/27/2016 11:40:49PM, query, office visit OV02124
qylarry, 07/01/2016 02:44:30AM, complete, appointment A003583
fzalcala, 07/01/2016 01:28:24PM, create, system alert CA02888
fzalcala, 07/01/2016 09:50:25PM, sort, system alert CA04760
dsblythe, 07/02/2016 02:00:05AM, import, ICD-9 Code 741
qylarry, 07/02/2016 04:24:39AM, order, appointment A002789
lqmadden, 07/02/2016 06:44:09AM, unmerge, system alert CA03572
lqmadden, 07/02/2016 11:40:02AM, cancel, notification NX1842
fzalcala, 07/02/2016 12:14:12PM, cancel, notification NX1842
qylarry, 07/03/2016 02:08:14AM, resolve, notification NX4608
fzalcala, 07/03/2016 04:59:07AM, resolve, ICD-9 Code 444
dsblythe, 07/03/2016 07:57:33AM, assign, system alert CA03862
lqmadden, 07/03/2016 10:27:08AM, update, message M5009
qylarry, 07/03/2016 01:21:57PM, print, office visit OV00092
lqmadden, 07/04/2016 11:03:20AM, complete, message M2049
lqmadden, 07/04/2016 01:44:16PM, assign, system alert CA04029
lqmadden, 07/04/2016 07:03:35PM, create, appointment A000658
qylarry, 07/04/2016 11:10:27PM, assign, system alert CA00191
qylarry, 07/04/2016 11:59:23PM, view, message M5089
xcherndon, 07/05/2016 12:04:50AM, modify, HL7 Code 282
dsblythe, 07/05/2016 01:00:14PM, resolve, office visit OV05076
dsblythe, 07/06/2016 11:13:36AM, export, office visit OV03450
quhundley, 07/06/2016 01:04:39PM, unmerge, LOINC code 273
xcherndon, 07/06/2016 05:46:08PM, query, notification NX2287
lqmadden, 07/06/2016 11:24:11PM, cancel, office visit OV01482
lqmadden, 07/07/2016 01:16:05AM, import, ICD-9 Code 741
quhundley, 07/07/2016 09:46:58AM, unmerge, system alert CA00345
qylarry, 07/07/2016 11:26:17AM, delete, notification NX2338
xcherndon, 07/07/2016 03:05:50PM, delete, notification NX4358
xcherndon, 07/08/2016 12:07:04AM, unmerge, notification NX4544
quhundley, 07/08/2016 01:29:33AM, disable, message M5722
dsblythe, 07/08/2016 07:39:11AM, export, system alert CA04826
quhundley, 07/08/2016 09:26:39AM, assign, system alert CA04099
lqmadden, 07/08/2016 09:41:21AM, cancel, system alert CA02174
fzalcala, 07/08/2016 09:48:48AM, cancel, office visit OV01843
lqmadden, 07/08/2016 11:11:07AM, modify, appointment A002868
lqmadden, 07/08/2016 09:20:44PM, create, system alert CA04840
qylarry, 07/09/2016 03:16:32AM, sort, system alert CA01474
dsblythe, 07/09/2016 04:33:22AM, update, patient specific instructions A532
fzalcala, 07/09/2016 05:33:23AM, resolve, ICD-9 Code 194
xcherndon, 07/09/2016 05:49:50PM, query, notification NX2872
xcherndon, 07/10/2016 02:07:56AM, unmerge, office visit OV00787
lqmadden, 07/10/2016 09:14:51AM, query, notification NX2872
lqmadden, 07/10/2016 01:10:29PM, sort, system alert CA04573
qylarry, 07/10/2016 02:13:38PM, unmerge, notification NX1034
qylarry, 07/10/2016 07:34:51PM, query, HL7 Code 288
xcherndon, 07/11/2016 06:57:45AM, update, notification NX0017
quhundley, 07/11/2016 12:00:35PM, import, appointment A004540
lqmadden, 07/11/2016 06:58:50PM, unmerge, notification NX1624
lqmadden, 07/12/2016 12:24:26AM, merge, system alert CA00437
quhundley, 07/12/2016 08:53:32AM, schedule, message M5515
qylarry, 07/12/2016 09:14:01AM, resolve, system alert CA03516
quhundley, 07/12/2016 01:45:32PM, schedule, notification NX0054
qylarry, 07/12/2016 07:54:55PM, modify, HL7 Code 282
xcherndon, 07/13/2016 05:56:16AM, query, HL7 Code 288
dsblythe, 07/13/2016 10:56:37AM, assign, message M1968
dsblythe, 07/13/2016 03:42:08PM, merge, system alert CA00306
fzalcala, 07/14/2016 05:38:10AM, view, appointment A002502
qylarry, 07/14/2016 07:12:21AM, disable, patient specific instructions A541
lqmadden, 07/14/2016 09:40:22AM, merge, message M3062
quhundley, 07/14/2016 10:42:24AM, cancel, system alert CA02174
qylarry, 07/14/2016 12:26:51AM, modify, HL7 Code 282
xcherndon, 07/14/2016 02:17:24PM, cancel, ICD-10 Code 423
lqmadden, 07/14/2016 05:34:52PM, assign, notification NX1212
xcherndon, 07/14/2016 06:43:41PM, disable, office visit OV03696
lqmadden, 07/14/2016 07:17:05PM, merge, message M3062
fzalcala, 07/14/2016 10:26:57PM, print, office visit OV00092
dsblythe, 07/15/2016 02:41:19AM, create, office visit OV02431
xcherndon, 07/15/2016 03:08:04AM, schedule, appointment A002321
fzalcala, 07/15/2016 04:03:13AM, print, office visit OV02668
quhundley, 07/15/2016 04:55:10AM, unmerge, notification NX1624
quhundley, 07/15/2016 11:13:13AM, complete, message M1078
qylarry, 07/15/2016 12:23:29AM, update, notification NX0017
lqmadden, 07/15/2016 01:52:18PM, update, patient specific instructions A532
qylarry, 07/15/2016 12:20:52PM, complete, message M3214
fzalcala, 07/15/2016 12:41:56PM, cancel, system alert CA02174
lqmadden, 07/16/2016 12:14:11AM, modify, office visit OV03948
fzalcala, 07/16/2016 06:03:17AM, complete, message M3214
quhundley, 07/17/2016 12:34:50AM, unmerge, office visit OV00787
xcherndon, 07/17/2016 06:10:13AM, resolve, appointment A000609
qylarry, 07/17/2016 12:29:54PM, unmerge, system alert CA02196
dsblythe, 07/18/2016 05:36:52AM, print, system alert CA04407
dsblythe, 07/18/2016 01:57:14PM, delete, notification NX4358
fzalcala, 07/18/2016 04:00:05PM, complete, message M3214
quhundley, 07/19/2016 09:05:45AM, create, system alert CA04840
dsblythe, 07/19/2016 12:57:32AM, export, office visit OV03450
fzalcala, 07/19/2016 04:19:59PM, create, office visit OV01854
lqmadden, 07/19/2016 11:04:32PM, resolve, ICD-9 Code 194
xcherndon, 07/19/2016 12:51:19PM, access, message M4525
fzalcala, 07/20/2016 03:37:24AM, access, office visit OV05023
quhundley, 07/20/2016 11:32:36AM, cancel, office visit OV03435
quhundley, 07/20/2016 09:02:00PM, cancel, office visit OV01843
dsblythe, 07/21/2016 06:21:33AM, assign, ICD-9 Code 790
dsblythe, 07/21/2016 07:22:14AM, enable, system alert CA04762
fzalcala, 07/21/2016 09:19:03AM, query, message M1282
dsblythe, 07/21/2016 05:39:49PM, update, notification NX3502
fzalcala, 07/21/2016 12:16:01PM, unmerge, notification NX1624
dsblythe, 07/22/2016 05:53:21AM, cancel, office visit OV01843
qylarry, 07/22/2016 09:33:10AM, modify, office visit OV03948
fzalcala, 07/22/2016 09:41:19AM, resolve, office visit OV05076
quhundley, 07/22/2016 01:32:56PM, complete, appointment A003583
xcherndon, 07/23/2016 04:45:42AM, unmerge, system alert CA02196
lqmadden, 07/23/2016 09:19:07AM, complete, message M4193
dsblythe, 07/23/2016 12:02:30AM, complete, LOINC code 51
xcherndon, 07/24/2016 08:10:44AM, delete, appointment A001470
xcherndon, 07/24/2016 10:37:16AM, order, system alert CA04407
quhundley, 07/24/2016 11:17:08AM, create, ICD-9 Code 130
xcherndon, 07/24/2016 12:04:17PM, unmerge, notification NX1624
dsblythe, 07/24/2016 11:11:21PM, assign, notification NX1212
quhundley, 07/24/2016 12:04:56PM, disable, office visit OV03696
fzalcala, 07/25/2016 02:07:44AM, modify, notification NX2143
dsblythe, 07/25/2016 12:47:31AM, cancel, notification NX1842
lqmadden, 07/25/2016 09:57:15PM, enable, notification NX0018
quhundley, 07/25/2016 12:16:58PM, cancel, system alert CA02174
quhundley, 07/26/2016 11:08:29AM, order, notification NX1379
quhundley, 07/26/2016 12:02:50PM, disable, office visit OV01154
qylarry, 07/26/2016 04:34:27PM, create, message M4467
dsblythe, 07/26/2016 04:43:04PM, query, notification NX2287
quhundley, 07/27/2016 03:21:09PM, disable, appointment A000770
qylarry, 07/27/2016 03:21:15PM, query, LOINC code 186
fzalcala, 07/27/2016 06:02:37PM, schedule, appointment A002321
dsblythe, 08/01/2016 06:56:42AM, assign, HL7 Code 1
xcherndon, 08/01/2016 11:01:10AM, modify, office visit OV03948
xcherndon, 08/01/2016 12:31:42AM, resolve, notification NX4608
quhundley, 08/02/2016 08:13:48AM, resolve, ICD-9 Code 194
lqmadden, 08/02/2016 08:51:45AM, complete, message M3214
quhundley, 08/02/2016 11:06:03AM, delete, ICD-9 Code 358
xcherndon, 08/02/2016 02:00:06PM, modify, notification NX2143
lqmadden, 08/02/2016 10:20:35PM, update, notification NX3622
dsblythe, 08/03/2016 04:51:18PM, assign, notification NX1212
lqmadden, 08/04/2016 07:21:39AM, disable, patient specific instructions A541
lqmadden, 08/05/2016 04:21:16AM, delete, notification NX2338
dsblythe, 08/05/2016 08:36:33AM, print, office visit OV00092
xcherndon, 08/05/2016 05:00:41PM, print, office visit OV02789
dsblythe, 08/06/2016 07:05:07AM, import, office visit OV00245
qylarry, 08/07/2016 05:07:41AM, enable, system alert CA04762
qylarry, 08/07/2016 10:40:46AM, print, notification NX1293
qylarry, 08/07/2016 11:33:23AM, print, message M2888
lqmadden, 08/07/2016 12:57:18AM, export, office visit OV03450
qylarry, 08/08/2016 10:03:30AM, delete, notification NX2338
dsblythe, 08/08/2016 07:24:53PM, query, system alert CA02891
qylarry, 08/08/2016 11:39:58PM, assign, HL7 Code 1
xcherndon, 08/09/2016 12:32:51AM, assign, ICD-9 Code 790
fzalcala, 08/09/2016 01:57:39AM, access, message M4525
xcherndon, 08/09/2016 08:04:25AM, query, notification NX2872
dsblythe, 08/09/2016 02:26:56PM, schedule, system alert CA01463
dsblythe, 08/09/2016 08:24:44PM, sort, appointment A005172
quhundley, 08/10/2016 04:16:01PM, access, system alert CA00245
lqmadden, 08/10/2016 06:47:15PM, update, office visit OV04352
lqmadden, 08/10/2016 07:11:21PM, update, notification NX3622
qylarry, 08/10/2016 07:51:28PM, import, notification NX0848
xcherndon, 08/10/2016 09:59:30PM, disable, office visit OV03887
quhundley, 08/11/2016 06:05:02AM, cancel, notification NX1118
dsblythe, 08/11/2016 04:41:58PM, schedule, system alert CA01078
xcherndon, 08/11/2016 08:52:45PM, resolve, notification NX4608
quhundley, 08/11/2016 11:54:34PM, merge, message M1235
lqmadden, 08/12/2016 02:22:32AM, update, notification NX3622
quhundley, 08/12/2016 10:20:02AM, unmerge, office visit OV03864
xcherndon, 08/13/2016 06:30:05AM, complete, appointment A003583
dsblythe, 08/14/2016 02:18:05AM, modify, HL7 Code 282
dsblythe, 08/14/2016 07:32:25AM, order, appointment A004704
xcherndon, 08/15/2016 12:15:51AM, assign, ICD-9 Code 790
qylarry, 08/15/2016 03:54:36PM, merge, LOINC code 264
quhundley, 08/16/2016 04:29:12AM, access, message M3319
fzalcala, 08/16/2016 11:57:21AM, update, notification NX3622
quhundley, 08/16/2016 08:18:03PM, create, office visit OV02431
xcherndon, 08/17/2016 12:31:43AM, disable, notification NX1054
qylarry, 08/17/2016 12:54:47AM, unmerge, system alert CA00277
qylarry, 08/17/2016 01:59:12AM, merge, system alert CA00306
fzalcala, 08/17/2016 08:38:55AM, assign, ICD-9 Code 790
quhundley, 08/17/2016 04:55:58PM, complete, ICD-9 Code 905
quhundley, 08/17/2016 06:47:51PM, enable, system alert CA04762
dsblythe, 08/18/2016 11:10:53AM, cancel, system alert CA03969
xcherndon, 08/18/2016 07:20:42PM, complete, office visit OV03063
quhundley, 08/18/2016 12:19:00PM, update, CPT Code 89
qylarry, 08/18/2016 12:37:35PM, modify, notification NX2392
quhundley, 08/19/2016 12:23:04AM, modify, notification NX3875
quhundley, 08/19/2016 12:29:10AM, merge, system alert CA00306
fzalcala, 08/19/2016 06:19:14PM, resolve, office visit OV00031
lqmadden, 08/19/2016 09:10:58PM, query, notification NX2872
lqmadden, 08/20/2016 12:06:05AM, modify, office visit OV02810
quhundley, 08/20/2016 12:15:20AM, create, office visit OV02431
fzalcala, 08/20/2016 02:02:19AM, assign, HL7 Code 1
lqmadden, 08/20/2016 02:35:45AM, resolve, office visit OV05076
lqmadden, 08/20/2016 09:52:46AM, create, system alert CA02888
fzalcala, 08/20/2016 12:08:43AM, order, system alert CA01383
dsblythe, 08/20/2016 03:07:45PM, import, notification NX0848
quhundley, 08/20/2016 05:03:19PM, assign, message M5253
dsblythe, 08/20/2016 10:24:20PM, enable, office visit OV00119
fzalcala, 08/21/2016 12:27:12AM, order, appointment A002789
lqmadden, 08/21/2016 01:21:36AM, resolve, office visit OV05076
qylarry, 08/21/2016 03:51:30PM, resolve, notification NX4608
dsblythe, 08/21/2016 07:50:05PM, update, notification NX3502
dsblythe, 08/22/2016 03:52:56AM, update, office visit OV04352
lqmadden, 08/22/2016 08:41:57AM, export, system alert CA00761
qylarry, 08/22/2016 05:02:45PM, sort, HL7 Code 478
lqmadden, 08/22/2016 06:06:10PM, unmerge, system alert CA00345
qylarry, 08/23/2016 12:57:12AM, disable, notification NX1054
quhundley, 08/24/2016 02:30:06PM, disable, appointment A000770
xcherndon, 08/24/2016 03:37:20PM, view, message M5402
quhundley, 08/24/2016 05:16:40PM, export, appointment A003407
fzalcala, 08/25/2016 01:35:14AM, schedule, appointment A002321
lqmadden, 08/25/2016 09:58:09AM, complete, ICD-9 Code 905
qylarry, 08/25/2016 07:56:03PM, query, office visit OV02124
fzalcala, 08/25/2016 11:41:20PM, complete, ICD-9 Code 905
xcherndon, 08/26/2016 04:08:46AM, unmerge, system alert CA03572
xcherndon, 08/26/2016 06:33:20AM, update, office visit OV04352
quhundley, 08/26/2016 11:02:57AM, access, patient specific instructions A1042
quhundley, 08/26/2016 11:10:11AM, view, system alert CA00528
xcherndon, 08/26/2016 08:19:27PM, view, appointment A002502
quhundley, 08/26/2016 08:30:07PM, update, office visit OV02974
xcherndon, 08/26/2016 11:58:57PM, import, office visit OV01979
qylarry, 08/27/2016 03:49:37PM, disable, patient specific instructions A541
fzalcala, 08/27/2016 04:19:36PM, assign, system alert CA00191
xcherndon, 08/27/2016 06:15:05PM, disable, appointment A000770
dsblythe, 08/27/2016 06:35:52PM, enable, office visit OV00119
dsblythe, 08/27/2016 07:24:25PM, assign, notification NX1212
dsblythe, 08/27/2016 08:45:12PM, sort, office visit OV02680
lqmadden, 09/01/2016 12:23:01AM, create, system alert CA01597
qylarry, 09/01/2016 12:40:29PM, complete, message M2049
fzalcala, 09/01/2016 12:58:53AM, modify, HL7 Code 282
quhundley, 09/01/2016 05:18:18PM, complete, appointment A003583
quhundley, 09/01/2016 08:26:27PM, sort, appointment A003855
dsblythe, 09/01/2016 11:47:59PM, modify, appointment A003833
fzalcala, 09/02/2016 03:37:59AM, print, office visit OV02789
qylarry, 09/02/2016 03:52:38AM, sort, appointment A005008
xcherndon, 09/02/2016 06:20:01AM, view, ICD-10 Code 867
lqmadden, 09/02/2016 06:38:05AM, unmerge, notification NX4544
dsblythe, 09/02/2016 09:16:50AM, assign, system alert CA00191
qylarry, 09/02/2016 02:04:21PM, order, message M1819
dsblythe, 09/02/2016 05:01:22PM, update, CPT Code 89
fzalcala, 09/02/2016 07:11:58PM, cancel, system alert CA03417
xcherndon, 09/02/2016 10:45:11PM, complete, appointment A003583
lqmadden, 09/02/2016 11:33:08PM, cancel, notification NX1842
xcherndon, 09/02/2016 12:02:04PM, cancel, notification NX1118
fzalcala, 09/03/2016 04:36:32AM, modify, notification NX2143
lqmadden, 09/03/2016 04:38:42PM, create, office visit OV02431
quhundley, 09/04/2016 01:52:20AM, resolve, ICD-9 Code 444
qylarry, 09/04/2016 02:52:08AM, query, HL7 Code 288
lqmadden, 09/04/2016 01:53:45PM, merge, message M3062
xcherndon, 09/04/2016 02:33:13PM, schedule, appointment A002321
lqmadden, 09/04/2016 08:26:08PM, unmerge, system alert CA00277
qylarry, 09/04/2016 08:37:32PM, update, notification NX0017
dsblythe, 09/04/2016 12:28:25PM, import, ICD-9 Code 741
xcherndon, 09/05/2016 03:42:15AM, resolve, notification NX4608
xcherndon, 09/05/2016 08:05:28AM, create, system alert CA04840
lqmadden, 09/06/2016 02:32:54PM, enable, system alert CA04762
xcherndon, 09/07/2016 07:53:50AM, unmerge, office visit OV00787
fzalcala, 09/07/2016 01:20:45PM, delete, system alert CA02948
fzalcala, 09/07/2016 06:45:33PM, query, notification NX2872
qylarry, 09/07/2016 08:47:36PM, modify, office visit OV03948
xcherndon, 09/08/2016 02:02:55AM, sort, appointment A005008
dsblythe, 09/08/2016 10:20:41AM, schedule, appointment A002321
quhundley, 09/08/2016 04:07:27PM, create, system alert CA03482
fzalcala, 09/08/2016 07:29:58PM, query, message M5221
lqmadden, 09/08/2016 07:53:39PM, create, system alert CA03482
qylarry, 09/08/2016 10:40:33PM, export, office visit OV03450
quhundley, 09/08/2016 11:45:52PM, create, appointment A003818
qylarry, 09/09/2016 01:19:09AM, import, office visit OV02939
lqmadden, 09/09/2016 12:36:31PM, modify, notification NX3875
dsblythe, 09/09/2016 04:45:13PM, unmerge, LOINC code 273
lqmadden, 09/09/2016 06:35:39PM, modify, notification NX2143
fzalcala, 09/10/2016 12:21:17AM, disable, office visit OV01154
fzalcala, 09/10/2016 01:19:29AM, update, notification NX3622
fzalcala, 09/10/2016 02:17:19AM, schedule, appointment A002321
qylarry, 09/10/2016 05:01:22AM, assign, appointment A004744
quhundley, 09/10/2016 05:49:31AM, export, CPT Code 52
lqmadden, 09/10/2016 06:13:49AM, enable, office visit OV00119
lqmadden, 09/10/2016 10:56:28AM, complete, office visit OV04294
xcherndon, 09/10/2016 01:59:53PM, assign, system alert CA00191
fzalcala, 09/11/2016 12:10:30AM, assign, ICD-9 Code 486
fzalcala, 09/11/2016 04:07:55AM, modify, notification NX2143
xcherndon, 09/11/2016 06:15:57AM, view, patient specific instructions A663
dsblythe, 09/11/2016 06:42:55PM, order, notification NX1379
quhundley, 09/11/2016 11:40:25PM, unmerge, LOINC code 273
dsblythe, 09/12/2016 02:42:31PM, disable, notification NX0207
quhundley, 09/12/2016 03:58:03PM, order, message M5097
qylarry, 09/12/2016 10:53:35PM, export, appointment A002221
dsblythe, 09/12/2016 12:35:29PM, unmerge, office visit OV00787
xcherndon, 09/13/2016 02:00:42AM, unmerge, notification NX4544
xcherndon, 09/13/2016 11:55:59PM, disable, appointment A000770
xcherndon, 09/13/2016 11:59:06PM, query, notification NX2872
fzalcala, 09/14/2016 12:31:17AM, schedule, appointment A002321
xcherndon, 09/14/2016 02:32:17AM, schedule, system alert CA03516
dsblythe, 09/14/2016 03:16:59PM, assign, system alert CA04099
fzalcala, 09/14/2016 09:03:42PM, create, system alert CA01597
lqmadden, 09/14/2016 11:46:04PM, update, notification NX0017
fzalcala, 09/14/2016 12:58:10PM, query, notification NX2872
quhundley, 09/15/2016 02:39:20AM, update, CPT Code 89
qylarry, 09/15/2016 07:35:20AM, assign, HL7 Code 1
dsblythe, 09/15/2016 09:21:12AM, enable, office visit OV00119
quhundley, 09/15/2016 08:38:16PM, cancel, ICD-10 Code 423
dsblythe, 09/15/2016 09:11:54PM, unmerge, system alert CA00345
dsblythe, 09/16/2016 02:22:37AM, disable, notification NX0229
xcherndon, 09/16/2016 04:57:16AM, update, office visit OV01076
quhundley, 09/16/2016 02:17:35PM, print, notification NX1293
dsblythe, 09/16/2016 04:24:21PM, create, office visit OV01243
qylarry, 09/16/2016 05:32:58PM, create, office visit OV01854
fzalcala, 09/16/2016 12:03:09PM, enable, appointment A004546
quhundley, 09/16/2016 12:20:40PM, enable, message M2842
dsblythe, 09/17/2016 02:40:16AM, create, office visit OV01378
lqmadden, 09/17/2016 04:16:18AM, order, notification NX1379
qylarry, 09/17/2016 10:47:51AM, resolve, ICD-10 Code 394
lqmadden, 09/17/2016 12:44:37AM, print, notification NX2286
fzalcala, 09/17/2016 06:56:04PM, modify, patient specific instructions A1473
lqmadden, 09/18/2016 09:28:10AM, enable, notification NX4743
xcherndon, 09/18/2016 09:44:06AM, delete, system alert CA01624
lqmadden, 09/18/2016 07:26:42PM, complete, appointment A001874
xcherndon, 09/18/2016 11:01:03PM, update, office visit OV04352
dsblythe, 09/19/2016 04:32:45AM, create, appointment A003818
dsblythe, 09/19/2016 05:14:01PM, complete, message M3214
qylarry, 09/19/2016 07:37:44PM, create, ICD-9 Code 130
xcherndon, 09/19/2016 12:26:15PM, order, system alert CA04806
lqmadden, 09/20/2016 06:11:44AM, export, message M1131
fzalcala, 09/20/2016 06:20:16AM, order, message M1615
fzalcala, 09/20/2016 11:59:55AM, modify, notification NX3875
lqmadden, 09/20/2016 12:47:22PM, disable, notification NX1054
lqmadden, 09/21/2016 04:20:44AM, cancel, system alert CA02174
xcherndon, 09/21/2016 07:57:02AM, cancel, notification NX1118
dsblythe, 09/21/2016 10:44:20AM, export, office visit OV03450
quhundley, 09/21/2016 01:57:57PM, cancel, system alert CA03969
quhundley, 09/21/2016 02:08:40PM, cancel, office visit OV04247
lqmadden, 09/21/2016 06:10:01PM, import, ICD-9 Code 741
lqmadden, 09/22/2016 06:12:55AM, merge, office visit OV03122
dsblythe, 09/22/2016 07:48:56PM, merge, system alert CA00306
quhundley, 09/23/2016 05:04:52AM, unmerge, appointment A002347
xcherndon, 09/23/2016 06:21:03AM, assign, system alert CA00191
fzalcala, 09/23/2016 10:38:27AM, modify, notification NX2392
xcherndon, 09/23/2016 01:01:41PM, unmerge, notification NX1624
lqmadden, 09/23/2016 06:09:12PM, export, message M4958
lqmadden, 09/23/2016 08:37:38PM, import, system alert CA01287
lqmadden, 09/24/2016 03:56:40AM, resolve, office visit OV05076
fzalcala, 09/24/2016 10:00:29AM, modify, office visit OV01031
qylarry, 09/24/2016 09:51:04PM, order, message M1819
xcherndon, 09/24/2016 12:01:34PM, order, appointment A004704
fzalcala, 09/25/2016 09:35:08AM, query, system alert CA02891
xcherndon, 09/25/2016 09:51:59AM, order, notification NX1379
fzalcala, 09/25/2016 06:36:24PM, schedule, system alert CA01893
xcherndon, 09/25/2016 07:22:51PM, schedule, system alert CA01893
dsblythe, 09/26/2016 12:02:07AM, cancel, notification NX2705
xcherndon, 09/26/2016 05:37:46AM, resolve, ICD-9 Code 444
quhundley, 09/26/2016 11:06:50AM, cancel, notification NX1842
fzalcala, 09/26/2016 10:12:10PM, import, office visit OV02939
quhundley, 09/27/2016 08:29:11AM, resolve, office visit OV05076
quhundley, 09/27/2016 04:19:04PM, cancel, notification NX1118
xcherndon, 09/27/2016 09:57:38PM, order, system alert CA04806
fzalcala, 10/01/2016 01:55:13AM, print, notification NX2286
quhundley, 10/01/2016 06:32:46AM, merge, message M3062
xcherndon, 10/01/2016 02:10:44PM, print, system alert CA04892
dsblythe, 10/01/2016 02:46:09PM, cancel, office visit OV00234
dsblythe, 10/01/2016 04:17:14PM, update, office visit OV04352
dsblythe, 10/01/2016 09:55:06PM, unmerge, system alert CA03572
quhundley, 10/02/2016 09:52:25AM, modify, office visit OV03948
xcherndon, 10/02/2016 07:14:51PM, unmerge, notification NX1624
quhundley, 10/02/2016 08:38:13PM, order, message M1819
xcherndon, 10/02/2016 11:12:36PM, resolve, ICD Code 369
dsblythe, 10/02/2016 12:44:03PM, resolve, HL7 Code 239
dsblythe, 10/03/2016 04:26:30AM, schedule, appointment A002321
lqmadden, 10/03/2016 05:43:52AM, create, notification NX0466
fzalcala, 10/03/2016 09:44:00AM, cancel, office visit OV01843
lqmadden, 10/03/2016 01:30:50PM, query, notification NX2872
lqmadden, 10/03/2016 07:07:04PM, resolve, office visit OV05076
dsblythe, 10/04/2016 01:52:59AM, update, ICD Code 26
quhundley, 10/04/2016 06:50:23AM, merge, office visit OV03122
fzalcala, 10/04/2016 10:16:46AM, assign, HL7 Code 1
dsblythe, 10/04/2016 10:32:56AM, cancel, system alert CA02174
fzalcala, 10/04/2016 06:01:39PM, cancel, office visit OV00234
quhundley, 10/05/2016 07:55:18AM, enable, notification NX3599
xcherndon, 10/07/2016 03:06:31AM, update, CPT Code 89
lqmadden, 10/07/2016 06:08:37AM, resolve, office visit OV03486
fzalcala, 10/08/2016 09:30:22AM, query, message M5221
fzalcala, 10/08/2016 01:14:13PM, unmerge, notification NX4544
qylarry, 10/08/2016 08:05:11PM, modify, notification NX3875
lqmadden, 10/09/2016 03:32:12AM, resolve, ND code 295
qylarry, 10/09/2016 04:59:58AM, enable, office visit OV01897
fzalcala, 10/09/2016 09:31:27AM, modify, patient specific instructions A1473
qylarry, 10/09/2016 12:28:36PM, unmerge, system alert CA03572
quhundley, 10/09/2016 12:38:20PM, modify, appointment A003529
qylarry, 10/10/2016 02:50:21AM, delete, notification NX2338
xcherndon, 10/11/2016 05:43:14PM, delete, notification NX4358
fzalcala, 10/11/2016 11:57:20PM, disable, office visit OV03696
quhundley, 10/12/2016 12:58:58AM, update, CPT Code 89
fzalcala, 10/12/2016 04:31:52AM, order, message M4322
xcherndon, 10/12/2016 12:13:04PM, schedule, appointment A004513
lqmadden, 10/12/2016 08:21:25PM, merge, message M3992
lqmadden, 10/13/2016 12:00:42AM, cancel, office visit OV00722
lqmadden, 10/13/2016 12:09:01AM, unmerge, LOINC code 273
lqmadden, 10/13/2016 02:50:57PM, print, system alert CA04407
xcherndon, 10/14/2016 06:07:26AM, view, appointment A004609
qylarry, 10/14/2016 08:34:16AM, import, system alert CA01287
dsblythe, 10/14/2016 12:12:15AM, export, office visit OV02309
